status_id	created_at	screen_name	text	favorite_count	retweet_count
1372716979262476291	2021-03-19T01:10:06Z	nytimes	"The @nytimes has been tracking eligibility for the COVID vaccine on a daily basis in all 50 states. We've expanded that effort again today. A thread..

https://t.co/01gDgOLYvX https://t.co/4BWbCVtFVL"	0	55
1372714461690265604	2021-03-19T01:00:06Z	nytimes	A child died in an accident involving a Peloton treadmill, the company’s CEO told customers on Thursday. In a letter, the CEO said that the company had been aware of “a small handful” of other instances in which children were hurt. https://t.co/BpOXsT9H0s	119	41
1372711938283728896	2021-03-19T00:50:04Z	nytimes	"NEW: Americans have long been reticent to acknowledge anti-Asian bias. It's often trivialized as harmless insults. The inevitable result of tolerating that racism was the Georgia killings, activists say. My latest w/@thomasfullerNYT &amp; @JillCowan 
https://t.co/2mIju9rsRE"	0	40
1372709428621938692	2021-03-19T00:40:06Z	nytimes	You may have filled out an NCAA bracket, but have you tried our challenge? Predict buzzer-beaters, upsets, winning colors — no bracket required. https://t.co/ZGvKIYMz3U	65	14
1372706945342259200	2021-03-19T00:30:14Z	nytimes	Former President George W. Bush said he was “disturbed” and “disgusted” by the Jan. 6 riot at the Capitol in an interview streamed online Thursday. https://t.co/oNopMGQ9lT	3007	486
1372704393926217728	2021-03-19T00:20:05Z	nytimes	"The deputy who said the Atlanta shootings suspect had ""a really bad day"" before the attacks and who had promoted a shirt that said Covid was an ""imported virus from Chy-na"" will no longer serve as a spokesman for the case. 
(w/ @gettinviggy @johnnydiaz__) https://t.co/nIgy1LCVXO"	0	48
1372699374418075648	2021-03-19T00:00:09Z	nytimes	The suggestion that the deadly Georgia shooting rampage this week may have been motivated by misogyny, but not racism, contradicts the experiences of many Asian-American women. For them, the two forms of violence are often intertwined. https://t.co/9zt9aW47ya	416	129
1372698593811968005	2021-03-18T23:57:02Z	nytimes	"UPDATE: The House has now approved a second measure that would eventually grant legal status to close to a million farmworkers and their families while updating a key agricultural visa program. This time, 30 Republicans, voted yes.

https://t.co/4Gg10GLQwJ"	0	50
1372694329802825732	2021-03-18T23:40:06Z	nytimes	"Legend Smalls, a 1-year-old boy, was shot in the head by an officer in Houston on March 3 as the police were trying to stop an armed man wanted in several robberies. 

As of Thursday, Legend remained in critical condition in pediatric intensive care.
https://t.co/zhMLqC8n30"	1099	518
1372689305311842305	2021-03-18T23:20:08Z	nytimes	I spent some time with ⁦@Chasten⁩ to write a story on what it’s like to be new to Washington during such a weird time, and what’s it’s like to be a part of a small club of political spouses, including ⁦@SecondGentleman⁩, who defy convention. https://t.co/OSjsbApQDx	0	193
1372684378518749187	2021-03-18T23:00:33Z	nytimes	The man charged with killing eight people at three Atlanta-area spas on Tuesday evening had been a customer of at least two of the businesses, the police said. https://t.co/15dllzuRLy https://t.co/sk3nIODQXg	145	51
1372679241712742402	2021-03-18T22:40:09Z	nytimes	"Along with baking and jigsaw puzzles earlier in the pandemic, model trains are among the passions being rediscovered while people are cooped up indoors. 

“It’s a little piece of a perfect world,” a model train hobbyist from Sweden said. https://t.co/riZfSNzkaj https://t.co/mELnmleFb0"	164	33
1372676707371614209	2021-03-18T22:30:04Z	nytimes	"The House voted 228 to 197 to set up a permanent legal pathway for roughly 2.5 million undocumented immigrants, including Dreamers and those granted Temporary Protected Status for humanitarian reasons.

9 Rs joined united Ds.

https://t.co/59RBTfQcFC"	0	39
1372674443202416647	2021-03-18T22:21:04Z	nytimes	Breaking News: The House voted to create a path to citizenship for roughly 2.5 million undocumented immigrants, including those known as Dreamers. https://t.co/an398yQena	1485	316
1372669206911717387	2021-03-18T22:00:16Z	nytimes	The Biden administration rescinded a policy put in place by Betsy DeVos, Donald Trump's education secretary, that limited debt relief for students defrauded by their schools. The change will eliminate around $1 billion in debt for about 72,000 borrowers. https://t.co/o2Yg4ecexm	644	167
1372665406054354945	2021-03-18T21:45:10Z	nytimes	The Senate approved William Burns to be director of the CIA, placing a veteran diplomat in charge of rebuilding the agency's morale, which was battered during the Trump administration. https://t.co/Qp1BQS7h5y	395	83
1372661609466900485	2021-03-18T21:30:05Z	nytimes	Dick Hoyt, who pushed his son Rick in a wheelchair across the finish line at more than a thousand road races, including the Boston Marathon, has died. He was at 80. https://t.co/8bqQcEEKFB	8948	1019
1372659099159121924	2021-03-18T21:20:06Z	nytimes	The NFL signed new media deals worth over $100 billion, paving the way for team owners to add a 17th regular season game to the 2021 schedule. https://t.co/NvnN4mZeCA	128	39
